runid	model	packet	attempt	finish_reason	status
R01	anthropic/claude-opus-5	packet-1-decomposition-gap.md	1	stop	captured
R02	anthropic/claude-opus-5	packet-1-decomposition-gap.md	2	stop	captured
R03	anthropic/claude-opus-5	packet-2-completion-signal-false-positive.md	1	stop	captured
R04	anthropic/claude-opus-5	packet-2-completion-signal-false-positive.md	2	stop	captured
R05	anthropic/claude-opus-5	packet-3-completion-signal-false-negative.md	1	stop	captured
R06	anthropic/claude-opus-5	packet-3-completion-signal-false-negative.md	2	stop	captured
R07	anthropic/claude-opus-5	packet-4-factual-accuracy-miscount.md	1	stop	captured
R08	anthropic/claude-opus-5	packet-4-factual-accuracy-miscount.md	2	stop	captured
R09	anthropic/claude-opus-5	packet-5-test-correctness.md	1	stop	captured
R10	anthropic/claude-opus-5	packet-5-test-correctness.md	2	stop	captured
R11	openai/gpt-5.6-sol	packet-1-decomposition-gap.md	1	stop	captured
R12	openai/gpt-5.6-sol	packet-1-decomposition-gap.md	2	stop	captured
R13	openai/gpt-5.6-sol	packet-2-completion-signal-false-positive.md	1	stop	captured
R14	openai/gpt-5.6-sol	packet-2-completion-signal-false-positive.md	2	stop	captured
R15	openai/gpt-5.6-sol	packet-3-completion-signal-false-negative.md	1	stop	captured
R16	openai/gpt-5.6-sol	packet-3-completion-signal-false-negative.md	2	stop	captured
R17	openai/gpt-5.6-sol	packet-4-factual-accuracy-miscount.md	1	stop	captured
R18	openai/gpt-5.6-sol	packet-4-factual-accuracy-miscount.md	2	stop	captured
R19	openai/gpt-5.6-sol	packet-5-test-correctness.md	1	stop	captured
R20	openai/gpt-5.6-sol	packet-5-test-correctness.md	2	stop	captured
R21	opencode/deepseek-v4-pro	packet-1-decomposition-gap.md	1	stop	captured
R22	opencode/deepseek-v4-pro	packet-1-decomposition-gap.md	2	stop	captured
R23	opencode/deepseek-v4-pro	packet-2-completion-signal-false-positive.md	1	stop	captured
R24	opencode/deepseek-v4-pro	packet-2-completion-signal-false-positive.md	2	stop	captured
R25	opencode/deepseek-v4-pro	packet-3-completion-signal-false-negative.md	1	stop	captured
R26	opencode/deepseek-v4-pro	packet-3-completion-signal-false-negative.md	2	stop	captured
R27	opencode/deepseek-v4-pro	packet-4-factual-accuracy-miscount.md	1	stop	captured
R28	opencode/deepseek-v4-pro	packet-4-factual-accuracy-miscount.md	2	stop	captured
R29	opencode/deepseek-v4-pro	packet-5-test-correctness.md	1	stop	captured
R30	opencode/deepseek-v4-pro	packet-5-test-correctness.md	2	stop	captured
